Disease,Diet
Nhiễm trùng nấm,"['Chế độ ăn chống nấm', 'Chế phẩm sinh học', 'Tỏi', 'Dầu dừa', 'Nghệ']"
Dị ứng,"['Chế độ ăn kiêng', 'Thực phẩm giàu Omega-3', 'Thực phẩm giàu vitamin C', 'Thực phẩm giàu Quercetin', 'Probiotic']"
Bệnh trào ngược dạ dày,"['Chế độ ăn ít axit', 'Thực phẩm giàu chất xơ', 'Gừng', 'Cam thảo', 'Nước ép lô hội']"
Ứ mật mãn tính,"['Chế độ ăn ít chất béo', 'Chế độ ăn nhiều chất xơ', 'Protein nạc', 'Ngũ cốc nguyên hạt', 'Trái cây và rau quả tươi']"
Phản ứng thuốc,"['Chế độ ăn uống kháng histamine', 'Thực phẩm giàu Omega-3', 'Thực phẩm giàu vitamin C', 'Thực phẩm giàu Quercetin', 'Probiotic']"
Bệnh loét dạ dày tá tràng,"['Chế độ ăn ít axit', 'Thực phẩm giàu chất xơ', 'Gừng', 'Cam thảo', 'Nước ép lô hội']"
AIDS,"['Chế độ ăn uống cân bằng', 'Thực phẩm giàu protein', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Chất béo lành mạnh']"
Bệnh tiểu đường,"['Chế độ ăn ít đường huyết', 'Thực phẩm giàu chất xơ', 'Protein nạc', 'Chất béo lành mạnh', 'Sữa ít béo']"
Viêm dạ dày ruột,"['Chế độ ăn nhạt', 'Chuối', 'Gạo', 'Sốt táo', 'Bánh mì nướng']"
Hen phế quản,"['Chế độ ăn chống viêm', 'Thực phẩm giàu omega-3', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Protein nạc']"
Tăng huyết áp,"['Chế độ ăn DASH', 'Thực phẩm ít natri', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Protein nạc']"
Chứng đau nửa đầu,"['Chế độ ăn kiêng đau nửa đầu', 'Chế độ ăn ít Tyramine', 'Cắt bỏ caffeine', 'Bổ sung nước', 'Thực phẩm giàu magiê']"
Thoái hóa đốt sống cổ,"['Chế độ ăn kiêng viêm khớp', 'Chế độ ăn chống viêm', 'Thực phẩm giàu omega-3', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt']"
Liệt (xuất huyết não),"['Chế độ ăn uống lành mạnh cho tim', 'Thực phẩm ít natri', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Protein nạc']"
Vàng da,"['Chế độ ăn uống lành mạnh cho gan', 'Chế độ ăn ít chất béo', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Protein nạc']"
Sốt rét,"['Chế độ ăn kiêng sốt rét', 'Bổ sung nước', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Giải pháp bù nước bằng đường uống']"
Thủy đậu,"['Chế độ ăn kiêng thủy đậu', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Sốt xuất huyết,"['Chế độ ăn kiêng sốt xuất huyết', 'Bổ sung nước', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Thực phẩm giàu protein']"
Bệnh thương hàn,"['Chế độ ăn kiêng thương hàn', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Viêm gan A,"['Chế độ ăn kiêng viêm gan', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Viêm gan B,"['Chế độ ăn kiêng viêm gan B', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Viêm gan C,"['Chế độ ăn kiêng viêm gan C', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Viêm gan D ,"['Chế độ ăn kiêng viêm gan D', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Viêm gan E,"['Chế độ ăn kiêng viêm gan E', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Viêm gan do rượu,"['Chế độ ăn uống lành mạnh cho gan', 'Chế độ ăn ít chất béo', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Protein nạc']"
Bệnh lao,"['Chế độ ăn kiêng bệnh lao', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt nhẽo', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Cảm lạnh thông thường,"['Chế độ ăn lạnh', 'Bổ sung nước', 'Nước ấm', 'Nghỉ ngơi', 'Trà mật ong và chanh']"
Viêm phổi,"['Chế độ ăn kiêng viêm phổi', 'Chế độ ăn nhiều calo', 'Thực phẩm mềm và nhạt nhẽo', 'Bổ sung nước', 'Thực phẩm giàu protein']"
Bệnh trĩ lưỡng hình (cọc),"['Chế độ ăn kiêng bệnh trĩ', 'Chế độ ăn nhiều chất xơ', 'Bổ sung nước', 'Tắm nước ấm', 'Làm mềm phân']"
Đau tim,"['Chế độ ăn uống lành mạnh cho tim', 'Thực phẩm ít natri', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Protein nạc']"
Giãn tĩnh mạch,"['Chế độ ăn kiêng giãn tĩnh mạch', 'Chế độ ăn nhiều chất xơ', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt', 'Thực phẩm ít natri']"
Suy giáp,"['Chế độ ăn kiêng cho người suy giáp', 'Thực phẩm giàu iốt', 'Thực phẩm giàu selen', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt']"
Bệnh cường giáp,"['Chế độ ăn kiêng cho bệnh cường giáp', 'Chế độ ăn ít iốt', 'Thực phẩm giàu canxi', 'Thực phẩm giàu selen', 'Trái cây và rau quả']"
Hạ đường huyết,"['Chế độ ăn kiêng hạ đường huyết', 'Carbohydrate phức hợp', 'Đồ ăn nhẹ giàu protein', 'Thực phẩm giàu chất xơ', 'Chất béo lành mạnh']"
Viêm xương khớp,"['Chế độ ăn kiêng viêm khớp', 'Chế độ ăn chống viêm', 'Thực phẩm giàu omega-3', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt']"
Viêm khớp,"['Chế độ ăn kiêng viêm khớp', 'Chế độ ăn chống viêm', 'Thực phẩm giàu omega-3', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt']"
(Chóng mặt) Chóng mặt tư thế kịch phát,"['Chế độ ăn kiêng chóng mặt', 'Chế độ ăn ít muối', 'Bổ sung nước', 'Trà gừng', 'Thực phẩm giàu vitamin D']"
Mụn trứng cá,"['Chế độ ăn kiêng trị mụn', 'Chế độ ăn ít đường huyết', 'Bổ sung nước', 'Trái cây và rau quả', 'Chế phẩm sinh học']"
Nhiễm trùng đường tiết niệu,"['Chế độ ăn kiêng UTI', 'Bổ sung nước', 'Nước ép nam việt quất', 'Chế phẩm sinh học', 'Thực phẩm giàu vitamin C']"
Bệnh vẩy nến,"['Chế độ ăn kiêng bệnh vẩy nến', 'Chế độ ăn chống viêm', 'Thực phẩm giàu omega-3', 'Trái cây và rau quả', 'Ngũ cốc nguyên hạt']"
Bệnh chốc lở,"['Chế độ ăn kiêng chốc lở', 'Điều trị bằng kháng sinh', 'Trái cây và rau quả', 'Bổ sung nước', 'Thực phẩm giàu protein']"
