Disease,Medication
Nhiễm trùng nấm,"['Kem chống nấm', 'Fluconazol', 'Terbinafine', 'Clotrimazole', 'Ketoconazol']"
Dị ứng,"['Thuốc kháng histamine', 'Thuốc thông mũi', 'Epinephrine', 'Corticosteroid', 'Liệu pháp miễn dịch']"
Bệnh trào ngược dạ dày,"['Thuốc ức chế bơm proton (PPI)', 'Thuốc chặn H2', 'Thuốc kháng axit', 'Thuốc kích thích nhu động', 'Thuốc kháng sinh']"
Ứ mật mãn tính,"['Axit Ursodeoxycholic', 'Cholestyramine', 'Methotrexate', 'Corticosteroid', 'Ghép gan']"
Phản ứng thuốc,"['Thuốc kháng histamine', 'Epinephrine', 'Corticosteroid', 'Kháng sinh', 'Kem kháng nấm']"
Bệnh loét dạ dày tá tràng,"['Thuốc kháng sinh', 'Thuốc ức chế bơm proton (PPI)', 'Thuốc chặn H2', 'Thuốc kháng axit', 'Tác nhân bảo vệ tế bào']"
AIDS,"['Thuốc kháng vi-rút', 'Chất ức chế protease', 'Chất ức chế tích hợp', 'Chất ức chế xâm nhập', 'Chất ức chế kết hợp']"
Bệnh tiểu đường,"['Insulin', 'Metformin', 'Sulfonylureas', 'Chất ức chế DPP-4', 'Chất chủ vận thụ thể GLP-1']"
Viêm dạ dày ruột,"['Kháng sinh', 'Thuốc chống nôn', 'Thuốc chống tiêu chảy', 'Dịch truyền tĩnh mạch', 'Chế phẩm sinh học']"
Hen phế quản,"['Thuốc giãn phế quản', 'Corticosteroid dạng hít', 'Thuốc điều chỉnh Leukotriene', 'Thuốc ổn định tế bào mast', 'Thuốc kháng cholinergic']"
Tăng huyết áp,"['Thuốc hạ huyết áp', 'Thuốc lợi tiểu', 'Thuốc chẹn beta', 'Thuốc ức chế ACE', 'Thuốc chẹn kênh canxi']"
Chứng đau nửa đầu,"['Thuốc giảm đau', 'Triptans', 'Dẫn xuất Ergotamine', 'Thuốc phòng ngừa', 'Phản hồi sinh học']"
Thoái hóa đốt sống cổ,"['Thuốc giảm đau', 'Thuốc giãn cơ', 'Vật lý trị liệu', 'Nẹp cổ', 'Corticosteroid']"
Liệt (xuất huyết não),"['Thuốc làm loãng máu', 'Thuốc làm tan cục máu đông', 'Thuốc chống co giật', 'Vật lý trị liệu', 'Liệu pháp lao động']"
Vàng da,"['Dịch truyền tĩnh mạch', 'Truyền máu', 'Ghép gan', 'Thuốc trị ngứa', 'Thuốc kháng vi-rút']"
Sốt rét,"['Thuốc chống sốt rét', 'Thuốc hạ sốt', 'Thuốc chống nôn', 'Dịch truyền tĩnh mạch', 'Truyền máu']"
Thủy đậu,"['Thuốc kháng vi-rút', 'Thuốc giảm đau', 'Dịch truyền tĩnh mạch', 'Truyền máu', 'Truyền tiểu cầu']"
Sốt xuất huyết,"['Thuốc kháng sinh', 'Thuốc hạ sốt', 'Thuốc giảm đau', 'Dịch truyền tĩnh mạch', 'Corticosteroid']"
Bệnh thương hàn,"['Tiêm chủng', 'Thuốc kháng vi-rút', 'Dịch truyền tĩnh mạch', 'Truyền máu', 'Ghép gan']"
Viêm gan A,"['Tiêm chủng', 'Thuốc kháng vi-rút', 'Dịch truyền tĩnh mạch', 'Truyền máu', 'Ghép gan']"
Viêm gan B,"['Thuốc kháng vi-rút', 'Dịch truyền tĩnh mạch', 'Truyền máu', 'Truyền tiểu cầu', 'Ghép gan']"
Viêm gan C,"['Thuốc kháng vi-rút', 'Dịch truyền tĩnh mạch', 'Truyền máu', 'Truyền tiểu cầu', 'Ghép gan']"
Viêm gan D ,"['Thuốc kháng vi-rút', 'Dịch truyền tĩnh mạch', 'Truyền máu', 'Truyền tiểu cầu', 'Ghép gan']"
Viêm gan E,"['Ngưng rượu', 'Corticosteroid', 'Dịch truyền tĩnh mạch', 'Ghép gan', 'Hỗ trợ dinh dưỡng']"
Viêm gan do rượu,"['Kháng sinh', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']"
Bệnh lao,"['Thuốc hạ sốt', 'Thuốc thông mũi', 'Thuốc giảm ho', 'Thuốc kháng histamine', 'Thuốc giảm đau']"
Cảm lạnh thông thường,"['Kháng sinh', 'Thuốc kháng vi-rút', 'Thuốc kháng nấm', 'Dịch truyền tĩnh mạch', 'Liệu pháp oxy']"
Viêm phổi,"['Thuốc nhuận tràng', 'Thuốc giảm đau', 'Tắm nước ấm', 'Chườm lạnh', 'Chế độ ăn nhiều chất xơ']"
Bệnh trĩ lưỡng hình (cọc),"['Nitroglycerin', 'Aspirin', 'Thuốc chẹn beta', 'Thuốc chẹn kênh canxi', 'Thuốc tan huyết khối']"
Đau tim,"['Tất nén', 'Tập thể dục', 'Nâng cao chân', 'Xơ cứng hóa', 'Điều trị bằng laser']"
Giãn tĩnh mạch,"['Levothyroxine', 'Thuốc kháng giáp', 'Thuốc chẹn beta', 'Iốt phóng xạ', 'Phẫu thuật tuyến giáp']"
Suy giáp,"['Thuốc kháng giáp', 'Iốt phóng xạ', 'Phẫu thuật tuyến giáp', 'Thuốc chẹn beta', 'Corticosteroid']"
Bệnh cường giáp,"['Viên glucose', 'Kẹo hoặc nước trái cây', 'Tiêm Glucagon', 'IV dextrose', 'Diazoxide']"
Hạ đường huyết,"['Thuốc giảm đau', 'Tập thể dục', 'Gói nóng và lạnh', 'Bảo vệ khớp', 'Vật lý trị liệu']"
Viêm xương khớp,"['NSAID', 'Thuốc chống thấp khớp tác dụng điều trị bệnh (DMARD)', 'Sinh học', 'Corticosteroid', 'Phẫu thuật thay khớp']"
Viêm khớp,"['Phục hồi chức năng tiền đình', 'Tái định vị ống tủy', 'Thuốc trị buồn nôn', 'Phẫu thuật', 'Bài tập tại nhà']"
(Chóng mặt) Chóng mặt tư thế kịch phát,"['Phương pháp điều trị tại chỗ', 'Kháng sinh', 'Thuốc uống', 'Điều trị nội tiết tố', 'Isotretinoin']"
Mụn trứng cá,"['Thuốc kháng sinh', 'Thuốc giảm đau', 'Thuốc kháng histamine', 'Corticosteroid', 'Phương pháp điều trị tại chỗ']"
Nhiễm trùng đường tiết niệu,"['Thuốc kháng sinh', 'Thuốc giảm đau tiết niệu', 'Phenazopyridine', 'Thuốc chống co thắt', 'Probiotic']"
Bệnh vẩy nến,"['Phương pháp điều trị tại chỗ', 'Liệu pháp quang học', 'Thuốc điều trị toàn thân', 'Sinh học', 'Hạt than']"
Bệnh chốc lở,"['Kháng sinh bôi tại chỗ', 'Kháng sinh đường uống', 'Thuốc sát trùng', 'Thuốc mỡ', 'Gạc ấm']"
